game_date,player,prop,model_prediction,book_line,proj_min,edge,actual,stat_AST,stat_PA,stat_PR,stat_PRA,stat_PTS,stat_RA,stat_REB,stat_STL,stat_TO
2026-01-11,Jaylen Wells,REB,4.085,3.5,0,0.585,2.0,False,False,False,False,False,False,True,False,False
2026-01-11,Cam Spencer,AST,8.069,7.5,0,0.5690000000000008,12.0,True,False,False,False,False,False,False,False,False
2026-01-11,Royce O'Neale,REB,6.035,5.5,0,0.5350000000000001,7.0,False,False,False,False,False,False,True,False,False
2026-01-11,Khris Middleton,PTS,9.005,8.5,0,0.5050000000000008,2.0,False,False,False,False,True,False,False,False,False
2026-01-11,Luguentz Dort,PTS,8.999,8.5,0,0.4990000000000005,4.0,False,False,False,False,True,False,False,False,False
2026-01-11,Alex Caruso,REB,2.988,2.5,0,0.488,1.0,False,False,False,False,False,False,True,False,False
2026-01-11,Bryce McGowens,AST,1.96,1.5,0,0.4599999999999999,2.0,True,False,False,False,False,False,False,False,False
2026-01-11,Paul George,REB,5.951,5.5,0,0.4509999999999996,0.0,False,False,False,False,False,False,True,False,False
2026-01-11,Aaron Wiggins,PTS,10.942,10.5,0,0.4420000000000001,11.0,False,False,False,False,True,False,False,False,False
2026-01-11,Amen Thompson,REB,7.939,7.5,0,0.439,13.0,False,False,False,False,False,False,True,False,False
2026-01-11,Dillon Brooks,REB,3.932,3.5,0,0.4319999999999999,1.0,False,False,False,False,False,False,True,False,False
2026-01-11,Scottie Barnes,PTS,18.908,18.5,0,0.4080000000000012,31.0,False,False,False,False,True,False,False,False,False
2026-01-11,Terance Mann,PTS,8.899,8.5,0,0.3989999999999991,7.0,False,False,False,False,True,False,False,False,False
2026-01-11,Jeremiah Fears,REB,3.895,3.5,0,0.395,4.0,False,False,False,False,False,False,True,False,False
2026-01-11,Harrison Barnes,REB,2.887,2.5,0,0.387,1.0,False,False,False,False,False,False,True,False,False
2026-01-11,Jeremiah Fears,PTS,13.88,13.5,0,0.3800000000000008,16.0,False,False,False,False,True,False,False,False,False
2026-01-11,Paul George,AST,3.847,3.5,0,0.347,0.0,True,False,False,False,False,False,False,False,False
2026-01-11,Alex Caruso,AST,1.825,1.5,0,0.3249999999999999,2.0,True,False,False,False,False,False,False,False,False
2026-01-11,Al Horford,AST,1.795,1.5,0,0.2949999999999999,2.0,True,False,False,False,False,False,False,False,False
2026-01-11,Bryce McGowens,REB,2.788,2.5,0,0.2879999999999998,1.0,False,False,False,False,False,False,True,False,False
2026-01-11,Zach LaVine,AST,3.26,3.0,0,0.2599999999999998,1.0,True,False,False,False,False,False,False,False,False
2026-01-11,Onyeka Okongwu,PTS,14.751,14.5,0,0.2509999999999994,18.0,False,False,False,False,True,False,False,False,False
2026-01-11,Bam Adebayo,REB,9.231,9.0,0,0.2309999999999998,14.0,False,False,False,False,False,False,True,False,False
2026-01-11,Derik Queen,REB,9.206,9.0,0,0.2059999999999995,3.0,False,False,False,False,False,False,True,False,False
2026-01-11,Khris Middleton,REB,3.664,3.5,0,0.1640000000000001,2.0,False,False,False,False,False,False,True,False,False
2026-01-11,Dorian Finney-Smith,PTS,5.64,5.5,0,0.1399999999999996,4.0,False,False,False,False,True,False,False,False,False
2026-01-11,Ja'Kobe Walter,REB,3.608,3.5,0,0.1080000000000001,0.0,False,False,False,False,False,False,True,False,False
2026-01-11,Yves Missi,PTS,4.575,4.5,0,0.0750000000000001,7.0,False,False,False,False,True,False,False,False,False
2026-01-11,Victor Wembanyama,AST,2.545,2.5,0,0.0449999999999999,1.0,True,False,False,False,False,False,False,False,False
2026-01-11,Joel Embiid,PTS,24.464,24.5,0,-0.0360000000000013,0.0,False,False,False,False,True,False,False,False,False
2026-01-11,Mark Williams,REB,8.962,9.0,0,-0.0380000000000002,7.0,False,False,False,False,False,False,True,False,False
2026-01-11,Jaden McDaniels,AST,2.429,2.5,0,-0.0710000000000001,1.0,True,False,False,False,False,False,False,False,False
2026-01-11,Myles Turner,PTS,10.369,10.5,0,-0.1310000000000002,16.0,False,False,False,False,True,False,False,False,False
2026-01-11,Sandro Mamukelashvili,PTS,12.349,12.5,0,-0.1509999999999998,0.0,False,False,False,False,True,False,False,False,False
2026-01-11,Dylan Cardwell,REB,6.278,6.5,0,-0.2220000000000004,10.0,False,False,False,False,False,False,True,False,False
2026-01-11,Russell Westbrook,REB,5.771,6.0,0,-0.2290000000000001,6.0,False,False,False,False,False,False,True,False,False
2026-01-11,Mikal Bridges,REB,4.267,4.5,0,-0.2329999999999996,6.0,False,False,False,False,False,False,True,False,False
2026-01-11,Paul George,PTS,14.24,14.5,0,-0.2599999999999998,0.0,False,False,False,False,True,False,False,False,False
2026-01-11,Paolo Banchero,AST,5.223,5.5,0,-0.2770000000000001,8.0,True,False,False,False,False,False,False,False,False
2026-01-11,Onyeka Okongwu,REB,7.218,7.5,0,-0.282,12.0,False,False,False,False,False,False,True,False,False
2026-01-11,Mitchell Robinson,REB,8.161,8.5,0,-0.3390000000000004,11.0,False,False,False,False,False,False,True,False,False
2026-01-11,DeMar DeRozan,PTS,18.628,19.0,0,-0.3719999999999999,22.0,False,False,False,False,True,False,False,False,False
2026-01-11,Mark Williams,PTS,11.104,11.5,0,-0.3960000000000008,11.0,False,False,False,False,True,False,False,False,False
2026-01-11,Cason Wallace,PTS,6.082,6.5,0,-0.4180000000000001,3.0,False,False,False,False,True,False,False,False,False
