player,prop,book_line,model_prediction,edge,direction,source,prop_type,stat,proj_min,true_projection,true_edge
Chet Holmgren,PA,18.5,16.502,-1.998000000000001,UNDER,PrizePicks,combo,PA,0.0,15.352183814995644,-3.1478161850043556
Rui Hachimura,PRA,14.5,14.333,-0.1669999999999998,UNDER,PrizePicks,combo,PRA,0.0,11.337123085501771,-3.162876914498229
Nickeil Alexander-Walker,PR,24.5,26.755,2.254999999999999,OVER,PrizePicks,combo,PR,0.0,21.24616771309395,-3.25383228690605
Andrew Wiggins,PRA,21.5,19.67,-1.8299999999999983,UNDER,PrizePicks,combo,PRA,0.0,18.238764884537332,-3.261235115462668
Ryan Rollins,PTS,14.5,14.003,-0.4969999999999999,UNDER,PrizePicks,standard,PTS,0.0,11.218498929696288,-3.2815010703037117
Isaac Okoro,PRA,12.5,14.825,2.3249999999999993,OVER,PrizePicks,combo,PRA,0.0,9.21547915712446,-3.2845208428755406
Cason Wallace,PR,8.5,11.192,2.692,OVER,PrizePicks,combo,PR,0.0,5.175218815598164,-3.324781184401836
Kevin Durant,PA,30.5,31.844,1.3440000000000012,OVER,PrizePicks,combo,PA,0.0,27.113500087790136,-3.386499912209864
Derik Queen,PTS,12.5,9.562,-2.9380000000000006,UNDER,PrizePicks,standard,PTS,0.0,9.093529639417357,-3.4064703605826434
Stephon Castle,PRA,26.5,24.706,-1.7940000000000005,UNDER,PrizePicks,combo,PRA,0.0,23.077141813781527,-3.4228581862184733
Sidy Cissoko,PTS,8.5,8.529,0.0289999999999999,OVER,PrizePicks,standard,PTS,0.0,5.075638418885127,-3.424361581114873
Jalen Williams,PR,23.5,20.992,-2.507999999999999,UNDER,PrizePicks,combo,PR,0.0,20.047540687953227,-3.4524593120467735
Donovan Clingan,REB,12.5,10.931,-1.5690000000000008,UNDER,PrizePicks,standard,REB,0.0,9.021433686655506,-3.478566313344494
Stephon Castle,RA,10.5,9.111,-1.3889999999999991,UNDER,PrizePicks,combo,RA,0.0,7.018137353768855,-3.4818626462311446
Isaiah Joe,PR,8.5,11.437,2.9369999999999994,OVER,PrizePicks,combo,PR,0.0,4.93732170508976,-3.5626782949102402
Jarred Vanderbilt,PRA,16.0,14.693,-1.3070000000000004,UNDER,PrizePicks,combo,PRA,0.0,12.394734484419343,-3.6052655155806566
Davion Mitchell,AST,6.5,6.019,-0.4809999999999998,UNDER,PrizePicks,standard,AST,0.0,2.8785595675990097,-3.6214404324009903
Amen Thompson,RA,13.5,15.805,2.3049999999999997,OVER,PrizePicks,combo,RA,0.0,9.863337887417504,-3.6366621125824956
